org_or_user,repo_name,full_name,language,stars,forks,open_issues,pushed_at,description
migalkin,kgcourse2021,migalkin/kgcourse2021,HTML,25,9,0,2025-08-04T03:01:46Z,"""\u041c\u0430\u0442\u0435\u0440\u0438\u0430\u043b\u044b \u043a \u043a\u0443\u0440\u0441\u0443 \u043f\u043e Knowledge Graphs"""
migalkin,migalkin.github.io,migalkin/migalkin.github.io,JavaScript,0,0,0,2025-01-22T04:53:51Z,"""Github Pages template for academic personal websites, forked from mmistakes/minimal-mistakes"""
migalkin,NBFNet_mlx,migalkin/NBFNet_mlx,Python,10,1,1,2024-03-02T00:15:23Z,"""Neural Bellman-Ford networks implemented in MLX for Apple Silicon"""
migalkin,StarE,migalkin/StarE,Python,89,16,1,2023-12-01T20:12:24Z,"""EMNLP 2020: Message Passing for Hyper-Relational Knowledge Graphs"""
migalkin,rambo,migalkin/rambo,Rust,3,0,1,2023-02-08T14:27:03Z,""""""
migalkin,ciss2_project,migalkin/ciss2_project,Jupyter Notebook,0,0,6,2022-12-08T05:50:27Z,""""""
migalkin,RWL,migalkin/RWL,Python,8,1,0,2022-12-01T15:58:59Z,"""Weisfeiler and Leman Go Relational (LOG 2022)"""
migalkin,NodePiece,migalkin/NodePiece,Python,144,21,0,2022-02-02T03:34:04Z,"""Compositional and Parameter-Efficient Representations for Large Knowledge Graphs (ICLR'22)"""
migalkin,SQuAD-es-mt,migalkin/SQuAD-es-mt,,0,1,0,2020-07-14T17:13:08Z,"""Spanish version of SQuAD 1.1 and 2.0 obtained via machine translation"""
migalkin,netquery_rdf,migalkin/netquery_rdf,Python,0,0,0,2019-06-01T12:49:16Z,"""NIPS 2018 paper fork for RDF"""
migalkin,edbt-experiments,migalkin/edbt-experiments,,0,0,0,2017-11-23T15:27:49Z,""""""
migalkin,SMJoin-experiments,migalkin/SMJoin-experiments,R,1,0,0,2017-06-06T12:20:23Z,"""ISWC 2017 SMJoin results"""
migalkin,ekgs_clustering,migalkin/ekgs_clustering,Python,0,0,0,2016-08-28T16:28:02Z,""""""
migalkin,r_energyConsumption,migalkin/r_energyConsumption,R,0,0,0,2016-05-12T21:00:16Z,""""""
migalkin,ontologies,migalkin/ontologies,Web Ontology Language,0,0,0,2015-12-06T13:49:53Z,""""""
migalkin,Tables_Provider,migalkin/Tables_Provider,Java,0,0,0,2015-03-20T00:17:35Z,""""""
migalkin,datasciencecoursera,migalkin/datasciencecoursera,,0,0,0,2015-02-13T00:04:31Z,"""The repo for the Coursera Data Science course"""
migalkin,InformationWorkbenchTestSrc,migalkin/InformationWorkbenchTestSrc,Java,0,0,0,2013-06-22T15:46:54Z,""""""
migalkin,LinkedData,migalkin/LinkedData,,0,0,0,2013-05-20T07:43:46Z,"""Information Workbench + Linked Open Data"""
wasita,wasita.github.io,wasita/wasita.github.io,Svelte,1,0,8,2026-06-01T04:15:56Z,"""personal website"""
wasita,wm-cv,wasita/wm-cv,Svelte,0,0,0,2026-05-13T05:29:04Z,"""Academic CV written as a single page web app (Svelte + Tailwind)"""
wasita,vocoder,wasita/vocoder,JavaScript,0,0,0,2026-05-06T05:14:00Z,""""""
wasita,ch3-lib,wasita/ch3-lib,Typst,0,0,0,2026-04-12T04:03:19Z,""""""
wasita,magic-garden,wasita/magic-garden,Python,2,1,1,2026-01-13T23:51:32Z,"""a bot written for the magic garden discord activity game, for auto-purchasing seeds when user is afk"""
wasita,proj-template,wasita/proj-template,,0,0,0,2026-01-09T20:55:42Z,""""""
wasita,food-diary,wasita/food-diary,Svelte,0,0,0,2025-12-13T01:06:39Z,""""""
wasita,send2kobo,wasita/send2kobo,TypeScript,1,0,0,2025-12-12T19:09:12Z,"""Website for sending books to your kobo e-reader"""
wasita,d60-keeb,wasita/d60-keeb,,0,0,0,2024-08-26T00:46:22Z,""""""
wasita,wins-search,wasita/wins-search,CSS,1,0,0,2022-12-14T22:17:32Z,"""Women in Network Science (WiNS) member list website"""
wasita,honeycomb-demo,wasita/honeycomb-demo,JavaScript,0,0,0,2021-12-07T21:38:28Z,""""""
AustinCStone,EpsteinSearch,AustinCStone/EpsteinSearch,Python,0,0,0,2026-02-11T01:10:54Z,""""""
